Generation, o25, o50, o75, n25, n50, n75 
0,4126.83787567,7446.01196151,10877.0883814,476.744467198,860.989524298,1258.1889844
1,12529.9372435,15398.9614758,23099.0983123,1449.53146568,1781.66480712,2673.07316411
2,9130.88688392,10897.6225284,11821.2644356,1056.03951084,1260.5661253,1367.49177253
3,2531.26712692,13588.80541,18623.1179233,292.032801704,1572.11161621,2154.91012244
4,5831.19174049,7618.58506131,8857.53095857,674.049438606,880.96749438,1024.39439057
5,9552.09186264,20652.940488,32237.8397352,1104.80041548,2389.89306311,3731.0219577
6,8370.96876497,10114.8768807,20387.8833061,968.067390829,1169.95137045,2359.20864905
7,8347.23776047,9818.57644622,11289.915132,965.32016488,1135.65007307,1305.97998127
8,5057.54166484,5057.54166484,5057.54166484,584.487635036,584.487635036,584.487635036
9,503.024168791,503.024168791,503.024168791,57.2327246058,57.2327246058,57.2327246058
