Generation, o25, o50, o75, n25, n50, n75 
0,6.17258978656,13.6869478496,28.3307773565,-0.977431163843,-0.949956421181,-0.89641419656
1,2.38114615679,4.34456366616,11.6835806693,-0.991293816804,-0.984114974598,-0.957281331343
2,4.72346407788,5.29805609055,6.81971019907,-0.982729601261,-0.980628720846,-0.975065097886
3,6.06831760814,6.06831760814,24.1466634844,-0.977812414144,-0.977812414144,-0.91171256948
4,1.5378988468,2.35683084792,4.81925974473,-0.994376981413,-0.991382720852,-0.982379343625
5,5.39474122548,8.27566353066,8.27566353066,-0.980275211048,-0.969741696635,-0.969741696635
6,1.1134506968,1.7225274402,1.7225274402,-0.995928890917,-0.993701924003,-0.993701924003
7,5.48428692985,5.48428692985,5.48428692985,-0.979947805146,-0.979947805146,-0.979947805146
8,2.61871904352,2.61871904352,2.61871904352,-0.990425179207,-0.990425179207,-0.990425179207
9,2.00511833603,2.00511833603,2.00511833603,-0.992668687088,-0.992668687088,-0.992668687088
